WineID,WineDesignation,Category,CountryOfOrigin,Region,GrapeVariety,Year,AlcoholPercentage,BottleSize,PriceRange
1,Marquis de Perlade Blanc de Blancs Brut,Sparkling,Portugal,Alentejo,Fetească Neagră,2021,11.8,1.5L,Medium
2,Origin 1866,Dessert,Chile,Maipo Valley,Merlot,2014,13.3,1.5L,Premium
3,Rancho del Oso,Sparkling,Germany,Mosel,Cabernet Sauvignon,2015,14.8,0.75L,High
4,Les Fontenys Premier Cru,Red,Spain,Ribera del Duero,Merlot,2022,13.9,1.5L,Medium
5,Sémillon/Sauvignon/Muscadelle,White,Germany,Mosel,Malbec,2022,14.8,1.5L,Medium
6,Wieden & Berg,Sparkling,Australia,Hunter Valley,Fetească Neagră,2008,13.8,1.5L,High
7,The Autograph,Red,Italy,Tuscany,Chardonnay,2009,11.4,1L,High
8,Adolsen Vineyard,Red,Chile,Casablanca Valley,Chardonnay,2007,13.3,0.75L,Low
9,Liebfrauenstift-Kirchenstück Spätlese,Rosé,USA,Oregon,Merlot,2023,13.8,1.5L,Premium
10,Seleccion,Rosé,USA,Sonoma,Chardonnay,2021,12.7,1L,High
11,30th Anniversary Cuvée Estate Vineyard,White,Australia,Barossa Valley,Pinot Noir,2014,13.3,1L,High
12,Champ Perdrix,Dessert,Spain,Catalonia,Chardonnay,2023,12.2,1L,High
13,Gaisberg Reserve,Sparkling,Spain,Catalonia,Syrah,2022,13.4,1L,Medium
14,Tudor Hills Vineyard,Rosé,Germany,Mosel,Fetească Neagră,2013,13.0,0.75L,Medium
15,Fourchaume Premier Cru,White,Italy,Veneto,Merlot,2023,13.3,0.75L,Medium
16,Saunders Vineyard Estate Grown,Rosé,Spain,Catalonia,Cabernet Sauvignon,2019,12.8,1.5L,Medium
17,Frattey Shams Vineyard,Red,Argentina,Salta,Syrah,2018,14.4,1L,Low
18,Coroa D'Ouro,Rosé,Portugal,Douro,Cabernet Sauvignon,2012,15.3,0.75L,Low
